brand,model,repair_type,part_quality,price,cost,notes
Apple,iPhone 11,Front Screen,Aftermarket,120.00,45.00,LCD display
Apple,iPhone 11,Front Screen,Original,180.00,85.00,OEM LCD display
Apple,iPhone 11,Battery,Aftermarket,60.00,18.00,Standard capacity
Apple,iPhone 11,Battery,Original,80.00,35.00,OEM battery
Apple,iPhone 11,Back Glass,Aftermarket,90.00,30.00,Standard glass
Apple,iPhone 11,Back Glass,Original,120.00,55.00,OEM glass with Apple logo
Apple,iPhone 11,Charging Port,Aftermarket,70.00,20.00,Includes labor
Apple,iPhone 11,Camera,Aftermarket,65.00,22.00,Rear camera
Apple,iPhone 11,Camera,Original,95.00,45.00,OEM rear camera
Apple,iPhone 11,Speaker,Aftermarket,50.00,12.00,Loudspeaker
Apple,iPhone 12,Front Screen,Aftermarket,150.00,60.00,OLED display
Apple,iPhone 12,Front Screen,Original,220.00,110.00,OEM OLED display
Apple,iPhone 12,Battery,Aftermarket,70.00,20.00,Standard capacity
Apple,iPhone 12,Battery,Original,90.00,40.00,OEM battery
Apple,iPhone 12,Back Glass,Aftermarket,100.00,35.00,Standard glass
Apple,iPhone 12,Back Glass,Original,140.00,65.00,OEM glass with Apple logo
Apple,iPhone 12,Charging Port,Aftermarket,75.00,22.00,Includes labor
Apple,iPhone 12,Camera,Aftermarket,75.00,28.00,Rear camera
Apple,iPhone 12,Camera,Original,110.00,55.00,OEM rear camera
Apple,iPhone 13,Front Screen,Aftermarket,180.00,75.00,OLED display
Apple,iPhone 13,Front Screen,Original,250.00,125.00,OEM OLED display
Apple,iPhone 13,Battery,Aftermarket,75.00,22.00,Standard capacity
Apple,iPhone 13,Battery,Original,95.00,42.00,OEM battery
Apple,iPhone 13,Back Glass,Aftermarket,110.00,38.00,Standard glass
Apple,iPhone 13,Back Glass,Original,150.00,70.00,OEM glass with Apple logo
Apple,iPhone 13,Charging Port,Aftermarket,80.00,24.00,Includes labor
Apple,iPhone 13,Camera,Aftermarket,85.00,32.00,Rear camera
Apple,iPhone 13,Camera,Original,125.00,62.00,OEM rear camera
Apple,iPhone 13 Pro,Front Screen,Aftermarket,220.00,95.00,ProMotion OLED 120Hz
Apple,iPhone 13 Pro,Front Screen,Original,320.00,160.00,OEM ProMotion OLED 120Hz
Apple,iPhone 13 Pro,Battery,Aftermarket,80.00,24.00,Standard capacity
Apple,iPhone 13 Pro,Battery,Original,100.00,45.00,OEM battery
Apple,iPhone 13 Pro,Back Glass,Aftermarket,120.00,42.00,Standard glass
Apple,iPhone 13 Pro,Back Glass,Original,165.00,78.00,OEM glass with Apple logo
Apple,iPhone 13 Pro,Camera,Aftermarket,110.00,45.00,Triple camera system
Apple,iPhone 13 Pro,Camera,Original,180.00,90.00,OEM triple camera
Apple,iPhone 14,Front Screen,Aftermarket,200.00,85.00,OLED display
Apple,iPhone 14,Front Screen,Original,280.00,140.00,OEM OLED display
Apple,iPhone 14,Battery,Aftermarket,80.00,24.00,Standard capacity
Apple,iPhone 14,Battery,Original,100.00,45.00,OEM battery
Apple,iPhone 14,Back Glass,Aftermarket,115.00,40.00,Standard glass
Apple,iPhone 14,Back Glass,Original,160.00,75.00,OEM glass with Apple logo
Apple,iPhone 14,Charging Port,Aftermarket,85.00,26.00,Includes labor
Apple,iPhone 14 Pro,Front Screen,Aftermarket,250.00,110.00,Dynamic Island ProMotion OLED
Apple,iPhone 14 Pro,Front Screen,Original,380.00,190.00,OEM Dynamic Island ProMotion
Apple,iPhone 14 Pro,Battery,Aftermarket,85.00,26.00,Standard capacity
Apple,iPhone 14 Pro,Battery,Original,110.00,50.00,OEM battery
Apple,iPhone 14 Pro,Back Glass,Aftermarket,130.00,45.00,Standard glass
Apple,iPhone 14 Pro,Back Glass,Original,180.00,85.00,OEM glass with Apple logo
Apple,iPhone 15,Front Screen,Aftermarket,220.00,95.00,OLED display USB-C
Apple,iPhone 15,Front Screen,Original,310.00,155.00,OEM OLED display USB-C
Apple,iPhone 15,Battery,Aftermarket,85.00,26.00,Standard capacity
Apple,iPhone 15,Battery,Original,110.00,50.00,OEM battery
Apple,iPhone 15,Back Glass,Aftermarket,120.00,42.00,Standard glass
Apple,iPhone 15,Back Glass,Original,170.00,80.00,OEM glass with Apple logo
Apple,iPhone 15,Charging Port,Aftermarket,95.00,30.00,USB-C port
Apple,iPhone 15 Pro,Front Screen,Aftermarket,280.00,125.00,Titanium ProMotion OLED
Apple,iPhone 15 Pro,Front Screen,Original,420.00,210.00,OEM Titanium ProMotion
Apple,iPhone 15 Pro,Battery,Aftermarket,90.00,28.00,Standard capacity
Apple,iPhone 15 Pro,Battery,Original,120.00,55.00,OEM battery
Apple,iPhone 15 Pro,Back Glass,Aftermarket,140.00,50.00,Titanium back
Apple,iPhone 15 Pro,Back Glass,Original,200.00,95.00,OEM Titanium back
Samsung,Galaxy S21,Front Screen,Aftermarket,140.00,55.00,Dynamic AMOLED
Samsung,Galaxy S21,Front Screen,Original,200.00,95.00,OEM Dynamic AMOLED
Samsung,Galaxy S21,Battery,Aftermarket,60.00,18.00,Standard capacity
